date,event,C,teams,place,cost,cost points,bp,bp points,ed,ed points,acc,acc points,sp,sp points,autox,autox points,endu,endu points,fuel,fuel points,pen,total,wrl
2022.05,Michigan,0.93,89,67.,40.,66.2,61.,41.9,27.,80.0,-,0,-,0,-,0,40.,7.0,-,0,0,195,333.
2019.05,Michigan,0.97,108,66.,75.,59.3,23.,63.8,19.,90.0,25.,74.6,66.,19.1,86.,6.5,-,0,-,0,0,313,274.
2018.06,Lincoln,0.93,66,43.,59.,56.4,42.,48.7,48.,60.0,14.,72.1,40.,30.5,45.,6.5,22.,25.0,-,0,0,299,282.
2018.05,Michigan,0.97,114,85.,79.,60.7,12.,69.0,48.,60.0,83.,25.3,90.,3.5,80.,6.5,-,0,-,0,0,225,282.
2017.05,Michigan,0.98,109,91.,64.,62.7,57.,46.4,51.,70.0,-,0,-,0,-,0,69.,11.0,-,0,0,190,213.
2016.06,Lincoln,0.92,69,15.,47.,64.2,19.,57.2,32.,60.0,32.,34.0,29.,19.4,27.,93.9,15.,127.0,9.,83.0,0,539,151.
2016.05,Michigan,0.98,114,53.,59.,63.5,21.,59.1,39.,80.0,52.,44.6,70.,8.9,77.,41.5,58.,70.0,7.,90.1,0,458,203.
2015.05,Michigan,0.95,108,71.,90.,64.1,44.,52.1,57.,70.0,55.,34.1,59.,2.5,78.,7.5,-,0,-,0,0,230,332.
2014.05,Michigan,0.97,107,89.,98.,49.8,24.,62.9,74.,60.0,-,0,-,0,-,0,-,0,-,0,0,173,377.
2013.05,Michigan,0.97,104,87.,96.,53.4,40.,48.7,60.,70.0,-,0,-,0,81.,7.5,-,0,-,0,0,180,344.
2012.05,Michigan,0.98,104,80.,79.,60.7,54.,43.5,44.,70.0,75.,3.5,71.,7.0,55.,7.5,54.,10.0,-,0,0,202,307.
2011.05,Michigan,0.97,97,65.,76.,59.7,30.,60.2,37.,80.0,63.,12.3,68.,2.5,54.,23.0,46.,19.0,-,0,0,257,252.
2008.05,Michigan,1.00,104,89.,103.,47.2,84.,35.9,37.,80.0,72.,3.5,62.,11.5,75.,7.5,-,0,-,0,0,186,262.
