date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2019,Spain,0.94,28,4.,7.,16.,7.,3.,12.,8.,4.,8.,0,739,60.
2019,Germany,0.97,60,26.,20.,18.,21.,11.,12.,21.,-,-,-10,400,110.
2019,Austria,0.95,34,14.,22.,12.,14.,3.,11.,10.,-,-,0,396,67.
2018,Spain,0.96,37,7.,10.,13.,6.,9.,7.,6.,7.,10.,0,716,21.
2018,Germany,0.97,57,5.,16.,18.,5.,16.,12.,5.,5.,17.,0,779,26.
2018,Austria,0.94,30,7.,17.,6.,3.,6.,1.,5.,-,-,0,461,58.
2017,Spain,0.94,31,6.,6.,1.,6.,10.,10.,9.,7.,8.,0,638,38.
2017,Germany,0.97,64,5.,23.,34.,22.,20.,1.,15.,5.,11.,0,715,47.
2017,Austria,0.97,31,13.,9.,26.,10.,10.,10.,8.,-,-,0,404,82.
2016,Spain,0.97,36,7.,13.,9.,8.,5.,11.,10.,8.,9.,0,660,35.
2016,Germany,0.99,73,8.,18.,27.,24.,4.,3.,12.,9.,19.,0,686,53.
2016,Austria,0.97,21,9.,11.,13.,13.,6.,10.,8.,10.,10.,0,632,104.
2015,Spain,0.90,28,12.,6.,8.,3.,-,-,10.,-,8.,0,349,166.
2015,Hungary,0.90,37,12.,9.,20.,8.,16.,17.,20.,14.,15.,0,599,117.
2015,Germany,0.97,71,44.,9.,21.,21.,-,-,-,-,-,-5,234,178.
2014,Spain,0.91,25,8.,8.,2.,4.,8.,12.,8.,8.,9.,0,492,84.
2014,Germany,0.98,74,14.,23.,33.,15.,16.,32.,30.,13.,27.,0,562,67.
2013,Spain,0.85,15,3.,3.,5.,6.,1.,3.,4.,3.,5.,0,684,88.
2013,Germany,0.97,74,32.,24.,15.,20.,1.,12.,26.,-,38.,0,452,155.
2013,United Kingdom,0.97,83,22.,8.,28.,15.,9.,33.,25.,30.,-,0,414,172.
2012,Hungary,0.91,39,31.,6.,27.,19.,-,-,-,-,-,0,253,164.
2012,Germany,0.98,76,27.,56.,28.,31.,15.,17.,27.,33.,31.,0,540,97.
2012,United Kingdom,0.95,97,21.,52.,17.,21.,15.,23.,28.,23.,16.,-19,425,131.
2011,Italy,0.92,49,21.,3.,18.,28.,21.,24.,14.,34.,-,0,422,133.
2011,Hungary,0.89,28,19.,9.,7.,13.,5.,26.,16.,-,-,0,369,127.
2011,Germany,0.96,74,27.,40.,25.,40.,50.,31.,43.,22.,25.,0,437,92.
2010,Italy,0.94,41,10.,22.,12.,24.,6.,14.,14.,12.,-,0,697,84.
2010,Austria,0.93,27,22.,17.,8.,19.,20.,24.,17.,-,-,0,360,178.
2010,Germany,0.97,75,40.,39.,22.,36.,30.,44.,14.,-,-,0,355,189.
2010,United Kingdom,0.97,72,55.,35.,29.,-,42.,36.,35.,-,-,0,143,207.
2009,Germany,0.98,77,23.,56.,65.,34.,49.,58.,50.,17.,12.,0,502,104.
2009,United Kingdom,0.96,78,44.,53.,63.,45.,-,-,39.,28.,-,-17,348,165.
