date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2011,Italy,0.92,49,4.,30.,10.,8.,3.,3.,4.,4.,10.,0,765,37.
2011,Germany,0.96,74,16.,30.,37.,28.,13.,40.,14.,17.,27.,0,532,83.
2011,United Kingdom,0.95,77,37.,13.,54.,19.,40.,25.,25.,38.,-,-9,248,104.
2010,Italy,0.94,41,17.,4.,23.,7.,10.,9.,2.,3.,-,-346,519,35.
2010,Germany,0.97,75,6.,28.,4.,18.,7.,21.,4.,3.,23.,0,756,16.
2010,United Kingdom,0.97,72,10.,25.,39.,11.,11.,15.,5.,15.,13.,-12,657,36.
2009,Italy,0.92,36,5.,2.,18.,5.,5.,6.,9.,8.,-,0,759,64.
2009,Germany,0.98,77,31.,3.,23.,10.,15.,32.,13.,-,-,0,452,124.
2009,United Kingdom,0.96,78,77.,-,26.,-,-,-,-,-,-,0,54,146.
2008,Italy,0.92,31,2.,2.,5.,13.,3.,5.,2.,2.,-,0,810,39.
2008,Germany,0.94,77,28.,1.,40.,9.,18.,9.,4.,-,-,0,521,93.
2008,United Kingdom,0.95,72,35.,11.,64.,8.,-,27.,-,-,-,0,238,103.
2007,Italy,0.90,20,2.,3.,9.,6.,7.,10.,7.,2.,-,0,767,62.
2007,Germany,0.95,53,28.,28.,11.,21.,13.,15.,18.,-,-,0,397,113.
2007,United Kingdom,0.97,69,18.,6.,61.,40.,17.,22.,29.,16.,15.,0,503,95.
2006,Italy,0.86,17,9.,6.,14.,13.,9.,12.,7.,8.,-,0,541,131.
2006,United Kingdom,0.93,58,43.,31.,43.,45.,34.,38.,37.,-,-,0,199,202.
2005,Italy,0.85,10,9.,1.,1.,4.,9.,10.,9.,-,-,0,312,160.
2005,United Kingdom,0.93,57,41.,40.,45.,17.,-,-,-,-,4.,0,231,172.
