date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2022,Michigan,0.90,43,23.,23.,37.,14.,15.,22.,23.,25.,-,0,352,228.
2022,Michigan,0.93,89,63.,53.,50.,12.,-,-,58.,-,-,0,211,256.
2019,Michigan,0.97,108,45.,63.,26.,19.,11.,10.,11.,92.,-,0,439,120.
2018,Michigan,0.97,114,23.,46.,22.,17.,34.,37.,29.,24.,41.,0,501,103.
2017,Michigan,0.98,109,37.,19.,26.,51.,46.,57.,61.,34.,35.,0,482,122.
2016,Michigan,0.98,114,52.,35.,95.,74.,-,-,62.,15.,51.,0,467,180.
2015,Canada,0.87,18,14.,16.,14.,9.,13.,13.,10.,16.,-,0,341,243.
2014,Michigan,0.97,107,71.,11.,57.,38.,-,-,56.,78.,-,0,258,255.
2012,Michigan,0.98,104,49.,34.,29.,44.,8.,22.,36.,54.,-,0,344,158.
2011,California,0.95,60,34.,39.,10.,28.,15.,36.,10.,46.,-,0,341,119.
2011,Michigan,0.97,97,26.,10.,36.,37.,8.,31.,13.,68.,-,0,443,69.
2009,California,0.93,45,9.,21.,5.,8.,1.,4.,18.,11.,-,0,664,33.
2009,Michigan,0.97,90,20.,33.,13.,12.,4.,20.,64.,22.,-,0,499,41.
2008,California,0.93,59,9.,16.,4.,10.,2.,18.,21.,10.,-,0,635,31.
2008,Michigan,1.00,104,16.,37.,12.,10.,2.,54.,31.,18.,-,0,663,30.
2007,California,0.95,59,17.,5.,9.,7.,8.,16.,10.,-,-,0,492,49.
2007,Michigan,0.99,105,9.,24.,7.,11.,2.,46.,43.,12.,-,0,711,24.
2006,Michigan,0.99,118,32.,48.,54.,16.,52.,40.,75.,27.,-,0,502,41.
2005,Michigan,0.99,114,15.,10.,35.,14.,29.,29.,34.,15.,-,0,682,32.
2004,Michigan,1.00,129,56.,54.,9.,48.,51.,61.,51.,-,-,0,347,60.
2003,United Kingdom,0.86,34,2.,14.,19.,8.,10.,12.,6.,2.,4.,0,618,45.
2003,Michigan,1.00,111,51.,66.,10.,43.,47.,-,35.,-,-,0,328,76.
2002,Michigan,0.99,121,37.,40.,80.,18.,30.,27.,21.,-,-,0,376,53.
2001,United Kingdom,0.86,23,10.,6.,9.,11.,8.,1.,4.,-,-,0,465,45.
2001,Michigan,1.00,108,49.,28.,78.,34.,63.,14.,44.,-,-,0,305,54.
2000,Michigan,0.99,94,49.,55.,53.,62.,61.,-,16.,-,-,0,268,45.
1999,Michigan,1.00,89,47.,23.,3.,34.,-,-,43.,-,-,0,270,33.
1998,Michigan,1.00,81,8.,19.,39.,32.,37.,47.,13.,4.,-,0,718,22.
1997,Michigan,0.98,66,27.,26.,24.,15.,22.,24.,23.,-,-,0,300,43.
1996,Michigan,0.99,68,46.,53.,5.,14.,-,-,-,-,-,0,177,43.
1995,Michigan,0.99,69,24.,24.,11.,10.,37.,28.,35.,35.,2.,0,468,27.
1994,Michigan,0.96,58,34.,18.,4.,54.,34.,42.,29.,22.,14.,0,337,33.
