date,event,C,teams,place,cost,cost points,bp,bp points,ed,ed points,acc,acc points,sp,sp points,autox,autox points,endu,endu points,fuel,fuel points,pen,total,wrl
2013.08,Germany,0.97,74,17.,28.,74.2,5.,68.1,25.,105.0,10.,68.2,43.,24.4,29.,45.5,18.,146.8,7.,88.7,0,621,119.
2013.07,United Kingdom,0.97,83,34.,16.,64.2,11.,65.8,16.,123.0,11.,52.0,9.,37.3,-,0,-,0,-,0,0,342,210.
2013.05,Michigan,0.97,104,52.,99.,48.5,94.,29.0,10.,100.0,25.,48.7,11.,34.9,35.,88.1,72.,9.0,-,0,0,358,199.
2012.08,Germany,0.98,76,57.,36.,64.0,25.,56.47,51.,65.0,-,0,19.,52.49,-,0,-,0,-,0,0,238,194.
2012.07,United Kingdom,0.95,97,14.,60.,48.7,27.,52.9,67.,58.0,16.,44.0,17.,34.9,15.,60.8,11.,181.2,22.,20.4,-2,499,146.
2011.09,Italy,0.92,49,25.,18.,77.0,8.,70.0,10.,132.0,-,0,-,0,8.,100.3,19.,22.0,-,0,-10,391,196.
2011.08,Germany,0.96,74,64.,20.,73.62,59.,39.18,66.,40.0,-,0,-,0,-,0,-,0,-,0,0,153,210.
2010.09,Italy,0.94,41,18.,24.,68.37,5.,65.82,18.,111.5,-,0,23.,29.39,29.,7.5,16.,192.68,-,0,0,475,122.
2010.08,Germany,0.97,75,37.,23.,75.48,48.,53.5,33.,80.0,45.,41.35,9.,52.78,19.,71.62,-,0,-,0,0,375,146.
2009.08,Germany,0.98,77,39.,37.,70.09,19.,64.09,34.,80.0,30.,55.16,24.,50.47,19.,70.87,-,0,-,0,-10,381,139.
2009.07,United Kingdom,0.96,78,48.,43.,59.0,11.,62.3,25.,110.0,-,0,-,0,16.,83.6,-,0,-,0,-20,295,134.
2008.08,Germany,0.94,77,16.,37.,75.85,11.,65.66,44.,65.0,44.,34.07,37.,26.53,17.,108.92,14.,263.73,12.,21.45,0,661,109.
2008.07,United Kingdom,0.95,72,32.,49.,54.0,3.,65.12,42.,64.5,21.,46.47,32.,16.87,29.,22.83,-,0,-,0,0,270,225.
2007.08,Germany,0.95,53,38.,26.,76.65,45.,36.72,21.,60.0,-,0,-,0,33.,55.84,-,0,-,0,0,229,238.
2006.08,Germany,0.94,38,28.,22.,57.79,18.,57.1,15.,90.0,-,0,-,0,23.,80.51,-,0,-,0,0,285,230.
2006.07,United Kingdom,0.93,58,58.,56.,26.0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,0,26,279.
2006.05,Michigan,0.99,118,84.,100.,67.92,48.,49.89,40.,70.0,78.,5.9,40.,2.5,76.,7.5,-,0,-,0,0,204,196.
2004.07,United Kingdom,0.90,53,27.,47.,40.0,8.,59.54,36.,66.0,35.,17.05,13.,32.26,22.,58.42,-,0,-,0,0,273,159.
2004.05,Michigan,1.00,129,114.,125.,36.6,94.,36.8,48.,80.0,-,0,-,0,-,0,-,0,-,0,0,153,175.
2002.07,United Kingdom,0.87,35,30.,33.,39.0,16.,55.2,6.,100.0,-,0,-,0,-,0,-,0,-,0,0,194,140.
