date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2019,Lincoln,0.92,76,5.,25.,49.,7.,32.,1.,22.,12.,1.,0,749,71.
2019,Canada,0.90,22,16.,15.,18.,2.,13.,17.,14.,16.,-,0,409,166.
2019,Michigan,0.97,108,62.,44.,46.,19.,63.,40.,50.,82.,-,0,346,143.
2018,Lincoln,0.93,66,6.,30.,18.,11.,36.,18.,11.,6.,8.,0,665,91.
2018,Canada,0.91,23,12.,8.,6.,2.,14.,6.,10.,17.,-,-30,438,197.
2018,Michigan,0.97,114,45.,49.,45.,17.,37.,17.,31.,62.,-,0,366,209.
2017,Michigan,0.98,109,54.,53.,25.,18.,64.,37.,33.,69.,-,0,392,241.
2016,Michigan,0.98,114,97.,73.,36.,39.,-,-,-,-,-,0,196,337.
2015,Michigan,0.95,108,90.,65.,27.,104.,-,-,-,-,-,0,180,338.
2014,Michigan,0.97,107,65.,25.,78.,38.,65.,56.,71.,37.,-,0,272,257.
2013,Lincoln,0.93,60,56.,27.,21.,38.,-,-,-,-,-,-50,159,219.
2012,Michigan,0.98,104,18.,57.,68.,28.,21.,41.,17.,22.,23.,0,559,94.
2011,California,0.95,60,14.,12.,24.,18.,12.,26.,19.,14.,59.,0,533,140.
2011,Michigan,0.97,97,53.,18.,44.,37.,60.,-,33.,37.,-,-20,309,215.
2010,California,0.94,56,30.,33.,27.,16.,15.,15.,32.,-,-,0,290,221.
2010,Michigan,0.96,101,71.,32.,60.,15.,-,-,-,-,-,0,220,220.
2009,Michigan,0.97,90,40.,19.,4.,3.,27.,45.,63.,-,-,0,348,170.
2009,Virginia,0.92,21,13.,20.,18.,9.,3.,10.,13.,-,-,0,333,170.
2008,Michigan,1.00,104,60.,33.,90.,37.,19.,56.,66.,-,-,0,311,155.
2007,Michigan,0.99,105,87.,48.,83.,38.,-,-,-,-,-,0,192,106.
2006,Michigan,0.99,118,16.,47.,18.,40.,48.,40.,21.,9.,-,0,684,20.
2005,Michigan,0.99,114,17.,41.,19.,14.,27.,67.,17.,23.,-,0,658,37.
2004,Michigan,1.00,129,40.,43.,44.,48.,10.,20.,16.,-,-,0,413,72.
2003,Michigan,1.00,111,85.,40.,32.,71.,-,-,-,-,-,0,192,74.
2002,Michigan,0.99,121,17.,17.,27.,76.,-,41.,18.,13.,-,0,554,18.
2001,Michigan,1.00,108,15.,36.,93.,63.,26.,4.,36.,13.,-,0,608,20.
2000,Michigan,0.99,94,19.,50.,61.,-,20.,-,41.,10.,-,0,424,34.
1999,Michigan,1.00,89,40.,25.,74.,63.,26.,47.,13.,-,-,0,334,40.
1998,Michigan,1.00,81,32.,14.,12.,19.,24.,30.,25.,-,-,0,432,32.
1997,Michigan,0.98,66,22.,8.,12.,15.,-,37.,31.,22.,-,0,429,21.
1995,Michigan,0.99,69,22.,28.,59.,34.,22.,10.,6.,19.,22.,0,532,14.
1994,Michigan,0.96,58,9.,53.,7.,11.,11.,5.,3.,7.,5.,0,646,8.
