date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2019,Japan,0.96,87,14.,43.,81.,41.,34.,35.,6.,11.,14.,-40,511,82.
2018,Japan,0.95,86,24.,55.,84.,50.,42.,35.,14.,8.,11.,0,592,80.
2017,Japan,0.92,83,25.,23.,60.,59.,55.,42.,15.,15.,15.,-20,523,132.
2016,Japan,0.94,83,34.,20.,25.,38.,39.,27.,36.,36.,23.,0,307,171.
2015,Japan,0.95,75,17.,36.,6.,39.,32.,15.,1.,13.,28.,0,542,95.
2014,Japan,0.93,75,24.,53.,16.,45.,46.,20.,19.,25.,13.,0,496,122.
2013,Japan,0.93,69,44.,42.,32.,15.,27.,22.,13.,46.,-,0,334,150.
2012,Japan,0.94,68,8.,56.,6.,26.,21.,19.,4.,8.,10.,0,702,91.
2011,Japan,0.95,65,46.,41.,58.,50.,45.,15.,23.,45.,-,0,231,305.
2010,Japan,0.93,63,46.,59.,29.,47.,19.,11.,36.,-,-,0,201,259.
2009,Japan,0.92,58,36.,49.,35.,20.,36.,30.,39.,24.,-,0,272,181.
2008,Japan,0.91,62,12.,21.,27.,33.,18.,9.,5.,17.,-,0,497,134.
2007,Japan,0.92,58,33.,50.,19.,22.,20.,12.,30.,-,-,0,289,217.
2006,Japan,0.90,50,36.,37.,16.,44.,17.,11.,29.,-,-,0,204,238.
