date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2022,Austria,0.95,24,17.,22.,18.,22.,12.,18.,12.,8.,-,-10,296,146.
2019,Germany,0.97,60,12.,11.,42.,31.,4.,23.,25.,11.,16.,0,573,59.
2019,Italy,0.87,40,4.,14.,16.,6.,3.,-,5.,2.,5.,0,751,68.
2018,Germany,0.97,57,23.,51.,51.,48.,4.,24.,33.,20.,20.,0,463,108.
2018,Austria,0.94,30,15.,19.,7.,20.,17.,3.,18.,-,-,0,334,98.
2017,Czech Republic,0.92,33,5.,28.,18.,10.,12.,14.,10.,7.,8.,0,677,49.
2016,Germany,0.99,73,16.,50.,31.,48.,8.,20.,35.,13.,14.,-5,553,60.
2016,United Kingdom,0.98,106,21.,86.,90.,36.,15.,25.,23.,16.,21.,-20,505,64.
2015,Italy,0.87,43,3.,30.,20.,13.,6.,4.,10.,2.,6.,0,788,40.
2015,Germany,0.97,71,11.,56.,6.,26.,7.,13.,33.,12.,20.,0,543,75.
2014,Italy,0.90,44,20.,21.,28.,6.,7.,16.,7.,30.,-,0,449,84.
2014,Germany,0.98,74,10.,39.,37.,32.,11.,38.,19.,8.,13.,0,601,47.
2013,Germany,0.97,74,23.,68.,33.,50.,15.,40.,25.,14.,35.,0,535,84.
2012,Italy,0.90,37,5.,32.,1.,22.,11.,12.,6.,4.,-,0,622,98.
2011,Italy,0.92,49,22.,38.,23.,22.,10.,30.,10.,19.,-,0,418,197.
2010,Italy,0.94,41,35.,33.,37.,32.,-,27.,29.,-,-,-5,177,330.
