date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2019,Germany,0.97,60,51.,50.,24.,54.,44.,33.,41.,-,-,0,189,427.
2019,Austria,0.95,34,31.,28.,32.,33.,-,-,-,-,-,0,117,456.
2019,Netherlands,0.87,28,19.,20.,21.,20.,-,-,-,-,-,0,143,436.
2018,Germany,0.97,57,50.,31.,36.,50.,35.,42.,42.,-,-,-10,197,407.
2018,Austria,0.94,30,28.,26.,28.,30.,19.,-,23.,8.,-,-5,152,442.
2017,Austria,0.97,31,29.,31.,31.,31.,25.,27.,14.,-,-,0,144,425.
2016,Germany,0.99,73,69.,47.,63.,67.,-,-,53.,-,-,0,141,417.
2014,Spain,0.91,25,22.,21.,20.,16.,-,-,13.,11.,-,0,166,385.
2013,Germany,0.97,74,61.,46.,51.,61.,62.,-,52.,36.,-,0,202,327.
2011,Hungary,0.89,28,21.,13.,25.,18.,20.,20.,15.,-,15.,0,362,272.
2011,Germany,0.96,74,65.,59.,41.,40.,-,-,-,-,-,-15,147,385.
2010,Italy,0.94,41,36.,31.,39.,37.,-,-,-,-,-,-15,109,387.
2008,United Kingdom,0.95,72,43.,42.,66.,30.,35.,33.,31.,-,-,0,193,315.
2007,Germany,0.95,53,49.,42.,48.,37.,-,-,-,-,-,0,123,323.
2006,Germany,0.94,38,35.,33.,-,34.,-,-,-,-,-,0,60,301.
