date,event,C,teams,place,cost,cost points,bp,bp points,ed,ed points,acc,acc points,sp,sp points,autox,autox points,endu,endu points,fuel,fuel points,pen,total,wrl
2024.09,Italy,0.85,13,5.,6.,76.4,7.,53.84,6.,88.1,-,0,-,0,4.,5.0,-,0,-,0,0,223,197.
2024.01,India,0.85,18,3.,2.,88.0,6.,60.33,1.,150.0,-,0,-,0,-,0,-,0,-,0,-2,296,177.
2023.01,India,0.85,27,6.,1.,95.0,3.,73.0,1.,150.0,-,0,-,0,-,0,-,0,-,0,0,318,264.
2022.01,India,0.85,15,3.,1.,100.0,3.,71.0,2.,120.0,-,0,-,0,-,0,-,0,-,0,0,291,365.
2019.06,Lincoln,0.92,76,66.,69.,56.6,57.,43.2,53.,50.0,-,0,-,0,-,0,53.,3.0,-,0,-10,143,492.
2019.01,India,0.85,54,29.,48.,17.0,25.,51.71,20.,66.0,-,0,-,0,-,0,-,0,-,0,0,135,533.
2018.07,Italy,0.85,46,45.,12.,84.82,26.,42.42,41.,34.69,-,0,-,0,-,0,-,0,-,0,-100,62,558.
2015.07,United Kingdom,0.94,92,63.,44.,47.2,53.,47.1,69.,55.0,-,0,-,0,-,0,-,0,-,0,0,149,412.
2014.08,Germany,0.98,74,68.,70.,24.16,38.,46.39,58.,55.0,-,0,-,0,-,0,-,0,-,0,0,126,427.
2013.08,Germany,0.97,74,68.,50.,55.9,65.,26.0,66.,50.0,-,0,-,0,-,0,-,0,-,0,0,132,394.
2012.07,United Kingdom,0.95,97,67.,31.,63.6,32.,51.1,67.,58.0,-,0,-,0,-,0,-,0,-,0,0,173,369.
2011.07,United Kingdom,0.95,77,42.,6.,80.0,24.,54.5,32.,92.0,-,0,-,0,-,0,56.,2.0,-,0,-2,226,349.
2010.07,United Kingdom,0.97,72,67.,29.,59.0,68.,14.4,52.,30.0,-,0,-,0,-,0,-,0,-,0,-15,88,413.
2009.07,United Kingdom,0.96,78,67.,56.,52.0,64.,35.9,63.,42.0,-,0,-,0,-,0,-,0,-,0,-2,128,371.
2008.07,United Kingdom,0.95,72,58.,11.,73.0,65.,17.06,58.,44.0,-,0,-,0,-,0,-,0,-,0,0,134,340.
