date,event,C,teams,place,cost,cost points,bp,bp points,ed,ed points,acc,acc points,sp,sp points,autox,autox points,endu,endu points,fuel,fuel points,pen,total,wrl
2019.08,Japan,0.96,87,33.,16.,41.8,30.,49.21,11.,98.0,13.,73.39,21.,43.33,7.,107.61,63.,3.0,-,0,0,416,101.
2018.09,Japan,0.95,86,18.,4.,76.55,38.,45.0,55.,53.0,7.,84.89,20.,43.99,19.,93.89,20.,198.37,50.,30.58,0,626,56.
2017.09,Japan,0.92,83,15.,2.,79.31,27.,48.75,24.,81.0,4.,75.71,38.,33.48,39.,70.77,20.,192.04,43.,38.44,0,620,98.
2016.09,Japan,0.94,83,33.,8.,60.1,15.,52.5,31.,76.0,10.,59.46,28.,2.5,40.,64.19,31.,18.0,-,0,0,333,181.
2015.09,Japan,0.95,75,21.,17.,49.05,34.,39.47,50.,55.0,9.,64.21,11.,36.39,1.,90.95,23.,146.96,33.,33.05,-20,495,124.
2014.09,Japan,0.93,75,36.,18.,40.7,12.,51.32,41.,58.0,35.,46.85,38.,8.46,16.,118.65,42.,7.0,-,0,0,331,155.
2013.09,Japan,0.93,69,14.,19.,40.44,32.,37.5,22.,79.0,33.,33.64,37.,2.5,16.,112.11,11.,235.14,27.,32.4,0,573,58.
2012.09,Japan,0.94,68,13.,23.,41.8,11.,55.26,38.,61.0,34.,32.06,23.,26.28,30.,63.84,12.,239.89,18.,53.62,0,574,40.
2011.09,Japan,0.95,65,10.,42.,32.9,40.,30.0,12.,94.0,26.,41.16,26.,21.96,17.,106.58,11.,227.12,9.,75.09,0,629,23.
2010.09,Japan,0.93,63,4.,5.,68.4,10.,56.25,14.,103.0,9.,47.85,1.,50.0,5.,132.77,9.,265.17,2.,97.14,0,821,21.
2009.09,Japan,0.92,58,6.,11.,61.7,31.,35.53,22.,91.0,32.,23.1,3.,42.48,33.,50.62,3.,337.99,-,0,0,642,97.
2008.09,Japan,0.91,62,38.,25.,53.95,50.,18.75,22.,109.83,30.,3.5,-,0,29.,36.48,-,0,-,0,0,223,174.
2007.09,Japan,0.92,58,16.,2.,83.16,7.,60.94,30.,102.44,-,0,-,0,18.,83.23,20.,166.09,-,0,0,496,78.
2006.09,Japan,0.90,50,15.,7.,71.77,14.,51.0,15.,110.98,23.,3.5,14.,2.5,22.,51.23,12.,233.11,-,0,0,524,73.
2005.09,Japan,0.85,39,11.,13.,64.2,26.,35.5,12.,121.0,21.,9.17,10.,36.91,23.,14.62,8.,268.97,-,0,0,550,76.
2004.09,Japan,0.86,27,9.,14.,53.3,11.,53.2,9.,82.0,10.,33.58,6.,38.95,4.,97.68,9.,111.9,1.,50.0,0,521,80.
2003.09,Japan,0.85,15,13.,14.,20.7,13.,36.8,15.,20.0,7.,28.87,4.,45.56,7.,73.25,-,0,-,0,0,225,145.
