date,event,C,teams,place,cost,cost points,bp,bp points,ed,ed points,acc,acc points,sp,sp points,autox,autox points,endu,endu points,fuel,fuel points,pen,total,wrl
2024.09,Japan,0.90,71,33.,69.,2.0,2.,73.35,2.,146.0,-,0,-,0,31.,62.83,-,0,-,0,0,284,229.
2023.08,Germany,0.85,27,26.,27.,10.0,17.,47.15,24.,30.0,-,0,-,0,-,0,-,0,-,0,0,87,242.
2019.08,Japan,0.96,87,4.,53.,16.74,41.,43.75,8.,112.0,8.,79.36,16.,48.25,14.,101.93,6.,208.87,19.,62.95,0,674,16.
2018.09,Japan,0.95,86,4.,43.,23.67,13.,56.25,9.,114.0,2.,97.83,16.,45.84,12.,104.04,2.,273.48,29.,59.35,0,774,13.
2017.09,Japan,0.92,83,7.,54.,19.62,11.,56.25,4.,119.0,2.,85.99,9.,56.5,11.,103.73,8.,231.71,25.,64.27,0,737,32.
2017.08,Germany,0.97,64,12.,49.,63.0,37.,48.5,44.,70.0,6.,65.0,28.,35.21,48.,4.5,9.,224.94,6.,76.52,0,588,74.
2016.09,Japan,0.94,83,18.,31.,26.86,15.,52.5,8.,113.0,1.,75.0,2.,35.1,7.,125.24,34.,12.0,16.,60.5,0,500,86.
2015.09,Japan,0.95,75,13.,29.,33.35,13.,58.16,26.,74.0,18.,55.42,8.,40.86,1.,90.95,20.,156.12,11.,77.74,0,587,74.
2014.09,Japan,0.93,75,22.,24.,35.4,26.,39.47,22.,77.0,14.,63.79,15.,28.74,30.,99.17,20.,150.07,25.,50.62,-20,524,125.
2013.09,Japan,0.93,69,31.,44.,17.9,25.,41.25,35.,64.0,46.,3.5,21.,23.36,41.,83.38,31.,119.6,19.,45.36,0,398,159.
2012.09,Japan,0.94,68,30.,27.,39.72,6.,59.21,43.,58.0,45.,14.53,35.,20.02,40.,29.97,23.,185.14,29.,26.74,0,433,161.
2011.09,Japan,0.95,65,27.,43.,32.6,4.,60.0,40.,55.0,46.,3.5,29.,19.73,42.,18.86,25.,149.62,4.,91.58,0,431,223.
2010.09,Japan,0.93,63,53.,46.,26.5,44.,30.0,39.,69.0,-,0,-,0,-,0,-,0,-,0,0,126,409.
2009.09,Japan,0.92,58,47.,50.,17.7,3.,67.11,54.,32.0,-,0,-,0,-,0,-,0,-,0,0,117,396.
