date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2017,Japan,0.92,83,16.,46.,42.,17.,22.,13.,9.,5.,-,-20,597,91.
2016,Japan,0.94,83,31.,73.,38.,19.,17.,6.,9.,45.,-,0,338,110.
2015,Japan,0.95,75,7.,19.,34.,7.,5.,17.,1.,3.,31.,0,674,14.
2014,Japan,0.93,75,4.,35.,4.,3.,6.,24.,7.,3.,23.,0,781,27.
2013,Japan,0.93,69,10.,22.,4.,9.,3.,30.,8.,21.,39.,0,596,101.
2012,Japan,0.94,68,31.,36.,52.,15.,9.,-,20.,31.,27.,-20,417,201.
2011,Japan,0.95,65,43.,22.,40.,12.,14.,28.,44.,50.,-,0,268,232.
2010,Japan,0.93,63,44.,31.,29.,5.,-,-,47.,-,-,0,210,180.
2009,Japan,0.92,58,11.,13.,22.,5.,1.,22.,21.,20.,-,0,547,85.
2008,Japan,0.91,62,10.,14.,20.,3.,6.,18.,28.,11.,-,0,569,122.
2007,Japan,0.92,58,32.,51.,25.,22.,-,-,-,21.,-,0,301,236.
2006,Japan,0.90,50,47.,35.,40.,-,-,-,-,-,-,0,76,307.
