date,event,C,teams,place,cost,cost points,bp,bp points,ed,ed points,acc,acc points,sp,sp points,autox,autox points,endu,endu points,fuel,fuel points,pen,total,wrl
2015.05,Michigan,0.95,108,61.,6.,89.6,66.,45.4,57.,70.0,65.,8.6,59.,2.5,65.,44.4,36.,22.0,-,0,0,282,287.
2014.05,Michigan,0.97,107,73.,7.,80.4,9.,71.6,38.,80.0,74.,16.5,-,0,-,0,83.,7.0,-,0,0,256,341.
2013.05,Michigan,0.97,104,94.,62.,65.4,18.,58.2,63.,60.0,-,0,-,0,-,0,-,0,-,0,-30,154,390.
2012.05,Michigan,0.98,104,95.,65.,66.2,76.,36.0,75.,60.0,-,0,-,0,-,0,-,0,-,0,0,162,374.
2010.05,Michigan,0.96,101,87.,33.,78.1,49.,45.2,92.,40.0,-,0,-,0,-,0,-,0,-,0,0,163,331.
2009.05,Michigan,0.97,90,77.,57.,65.5,82.,28.9,65.,40.0,-,0,-,0,-,0,-,0,-,0,0,134,326.
2008.05,Michigan,1.00,104,88.,42.,79.2,96.,28.9,103.,20.0,32.,51.0,-,0,75.,7.5,-,0,-,0,0,186,266.
2007.05,Michigan,0.99,105,86.,10.,85.49,78.,38.59,38.,80.0,-,0,-,0,-,0,-,0,-,0,0,204,247.
2006.05,Michigan,0.99,118,112.,26.,84.63,95.,33.41,-,0,-,0,-,0,-,0,-,0,-,0,0,118,247.
2005.05,Michigan,0.99,114,100.,20.,86.38,81.,41.04,99.,50.0,-,0,-,0,-,0,-,0,-,0,0,177,191.
