date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2022,Michigan,0.90,43,11.,5.,15.,27.,20.,6.,7.,7.,21.,0,594,57.
2019,Lincoln,0.92,76,9.,4.,45.,9.,26.,8.,19.,7.,30.,0,702,47.
2018,Lincoln,0.93,66,16.,2.,17.,7.,35.,31.,30.,16.,22.,0,539,101.
2017,Lincoln,0.92,70,22.,1.,21.,16.,44.,37.,37.,22.,14.,0,535,127.
2016,Lincoln,0.92,69,32.,2.,8.,15.,-,38.,25.,19.,-,0,366,209.
2014,Lincoln,0.94,66,41.,3.,46.,16.,30.,49.,45.,53.,-,0,357,245.
2013,Lincoln,0.93,60,47.,5.,25.,26.,44.,-,52.,34.,-,0,293,322.
2012,Lincoln,0.94,65,53.,57.,40.,38.,-,-,-,47.,-,0,151,378.
2011,California,0.95,60,49.,36.,31.,39.,-,-,-,-,-,0,157,300.
2010,California,0.94,56,34.,28.,46.,51.,7.,22.,27.,-,-,0,249,217.
2009,California,0.93,45,22.,21.,24.,14.,7.,5.,14.,-,-,0,400,174.
2008,Virginia,0.88,28,12.,19.,7.,16.,14.,15.,11.,-,-,0,275,229.
2007,California,0.95,59,43.,36.,36.,37.,35.,39.,44.,-,-,0,221,225.
2006,United Kingdom,0.93,58,36.,43.,33.,42.,10.,24.,37.,-,-,0,246,194.
2006,California,0.97,49,41.,32.,44.,38.,33.,35.,41.,-,-,0,191,192.
2004,Michigan,1.00,129,69.,38.,52.,48.,57.,77.,57.,-,-,0,308,119.
2003,Michigan,1.00,111,83.,61.,80.,43.,-,-,74.,-,-,0,195,124.
2002,Michigan,0.99,121,71.,32.,65.,46.,66.,-,-,-,-,0,223,110.
2001,Michigan,1.00,108,85.,72.,81.,34.,-,-,-,-,-,0,187,103.
2000,Michigan,0.99,94,81.,40.,63.,83.,-,-,-,-,-,0,138,108.
1999,Michigan,1.00,89,85.,88.,70.,67.,38.,51.,35.,-,-,0,64,103.
