date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2019,Japan,0.96,87,27.,22.,10.,36.,28.,51.,35.,20.,38.,0,464,75.
2018,Japan,0.95,86,14.,15.,30.,29.,24.,27.,37.,4.,38.,0,664,49.
2017,Japan,0.92,83,14.,28.,34.,19.,21.,40.,17.,12.,30.,0,622,129.
2016,Japan,0.94,83,39.,30.,11.,38.,36.,23.,27.,37.,-,0,285,276.
2015,Japan,0.95,75,44.,23.,25.,63.,37.,40.,1.,34.,-,0,243,277.
2014,Japan,0.93,75,39.,45.,53.,47.,37.,30.,41.,30.,28.,0,298,285.
2013,Japan,0.93,69,51.,54.,47.,60.,-,-,45.,38.,26.,0,237,309.
2012,Japan,0.94,68,48.,32.,36.,47.,49.,43.,35.,-,-,0,175,286.
2011,Japan,0.95,65,25.,32.,40.,46.,30.,-,27.,24.,24.,0,448,210.
2010,Japan,0.93,63,54.,45.,55.,44.,41.,11.,47.,-,-,0,119,403.
2009,Japan,0.92,58,44.,43.,35.,32.,-,-,-,-,-,0,136,362.
2008,Japan,0.91,62,48.,52.,35.,27.,-,-,-,-,-,0,158,344.
2007,Japan,0.92,58,45.,28.,40.,44.,-,-,-,-,-,0,180,308.
2006,Japan,0.90,50,48.,34.,45.,-,-,-,-,-,-,0,73,309.
