date,event,C,teams,place,cost,cost points,bp,bp points,ed,ed points,acc,acc points,sp,sp points,autox,autox points,endu,endu points,fuel,fuel points,pen,total,wrl
2024.05,Michigan,0.95,108,32.,2.,88.1,51.,41.9,60.,60.0,26.,74.4,21.,56.6,48.,50.9,34.,81.6,41.,19.0,0,472,143.
2023.05,Michigan,0.95,114,26.,46.,63.3,54.,44.4,59.,60.0,28.,74.8,21.,43.2,67.,42.1,26.,126.8,32.,54.5,0,509,221.
2022.05,Michigan,0.93,89,73.,74.,44.1,66.,40.8,56.,60.0,-,0,-,0,-,0,32.,25.0,-,0,0,170,413.
2019.06,Lincoln,0.92,76,55.,11.,72.0,37.,54.9,69.,30.0,44.,14.7,33.,3.5,48.,27.0,44.,8.0,-,0,0,210,387.
2019.06,Canada,0.90,22,20.,6.,74.8,3.,72.0,19.,75.0,-,0,-,0,-,0,-,0,-,0,0,222,416.
2018.06,Lincoln,0.93,66,59.,24.,68.6,40.,50.7,60.,40.0,-,0,-,0,-,0,-,0,-,0,0,159,432.
2018.06,Canada,0.91,23,22.,6.,64.51,21.,44.12,16.,65.0,-,0,-,0,-,0,-,0,-,0,-10,164,420.
2017.05,Michigan,0.98,109,101.,17.,70.6,87.,36.6,102.,40.0,-,0,83.,3.5,85.,10.5,-,0,-,0,0,161,366.
2016.06,Lincoln,0.92,69,50.,31.,68.0,13.,61.4,32.,60.0,-,0,-,0,-,0,-,0,-,0,0,189,336.
2015.06,Lincoln,0.94,64,47.,31.,66.3,26.,59.4,55.,43.0,15.,58.5,33.,13.1,-,0,-,0,-,0,0,240,327.
2015.05,Michigan,0.95,108,91.,46.,74.4,67.,45.2,87.,60.0,-,0,-,0,-,0,-,0,-,0,0,180,339.
2014.06,Lincoln,0.94,66,48.,17.,73.8,52.,45.7,28.,90.0,52.,3.5,40.,12.8,52.,38.6,28.,14.0,-,0,0,278,343.
2014.05,Michigan,0.97,107,90.,22.,76.3,89.,38.7,97.,40.0,-,0,-,0,71.,7.5,63.,10.0,-,0,0,172,409.
2013.05,Michigan,0.97,104,96.,40.,69.6,73.,39.5,63.,60.0,-,0,-,0,81.,7.5,58.,12.0,-,0,-50,139,399.
2012.06,Lincoln,0.94,65,59.,20.,68.5,61.,29.1,-,0,-,0,-,0,-,0,-,0,-,0,0,98,369.
2011.05,Michigan,0.97,97,49.,9.,88.3,91.,26.4,67.,60.0,30.,50.7,64.,11.2,31.,72.5,51.,15.0,-,0,0,324,266.
2010.05,Michigan,0.96,101,92.,70.,67.5,99.,17.5,73.,60.0,-,0,-,0,-,0,-,0,-,0,0,145,379.
2009.05,Michigan,0.97,90,84.,62.,63.0,71.,33.4,84.,5.0,-,0,-,0,-,0,-,0,-,0,0,101,390.
