date,event,C,teams,place,cost,cost points,bp,bp points,ed,ed points,acc,acc points,sp,sp points,autox,autox points,endu,endu points,fuel,fuel points,pen,total,wrl
2023.07,United Kingdom,0.85,60,37.,28.,67.0,50.,45.1,23.,82.0,-,0,-,0,-,0,-,0,-,0,12,206,297.
2022.07,United Kingdom,0.85,51,24.,26.,50.0,25.,67.2,15.,86.0,-,0,-,0,-,0,-,0,-,0,18,221,336.
2021.07,United Kingdom,0.85,32,19.,20.,58.6,16.,65.5,15.,89.0,11.,5.0,6.,46.6,15.,28.7,15.,5.0,-,0,-40,258,362.
2019.07,Italy,0.87,40,24.,15.,70.89,23.,45.23,35.,52.55,21.,31.61,18.,34.8,21.,28.46,30.,1.0,-,0,0,265,405.
2019.07,United Kingdom,0.85,64,47.,39.,60.2,21.,53.3,58.,31.0,-,0,-,0,-,0,-,0,-,0,0,145,500.
2018.07,United Kingdom,0.88,70,65.,63.,10.0,-,0,44.,70.0,-,0,-,0,-,0,-,0,-,0,-8,72,538.
2017.07,United Kingdom,0.85,62,48.,34.,41.7,38.,46.0,20.,87.0,-,0,-,0,-,0,45.,1.0,-,0,-40,136,450.
2016.07,United Kingdom,0.98,106,89.,82.,29.7,65.,40.0,89.,40.0,-,0,-,0,-,0,-,0,-,0,0,110,416.
2015.07,United Kingdom,0.94,92,48.,64.,31.5,75.,36.2,34.,95.0,29.,20.5,35.,2.5,38.,13.1,51.,1.0,-,0,0,200,362.
2014.07,United Kingdom,0.98,90,72.,10.,69.6,46.,48.1,59.,70.0,-,0,-,0,42.,12.5,46.,6.0,-,0,-70,136,401.
2012.07,United Kingdom,0.95,97,45.,15.,71.6,57.,40.2,71.,57.0,45.,3.5,31.,23.8,29.,7.5,30.,21.0,-,0,-2,222,227.
2010.06,California,0.94,56,11.,13.,73.8,28.,44.3,7.,115.0,19.,50.1,31.,2.5,21.,49.5,17.,149.7,8.,46.3,0,531,63.
2009.07,United Kingdom,0.96,78,21.,23.,69.0,57.,39.2,42.,76.0,42.,31.2,34.,22.3,22.,70.5,22.,215.7,-,0,-4,520,91.
2007.06,California,0.95,59,27.,1.,94.0,50.,37.41,12.,100.0,19.,57.01,25.,23.27,26.,64.29,-,0,-,0,0,376,107.
2006.07,United Kingdom,0.93,58,10.,28.,67.0,36.,50.5,23.,86.0,11.,53.32,9.,38.69,1.,150.0,9.,251.07,20.,8.68,0,706,95.
2004.09,Japan,0.86,27,27.,27.,-34.2,1.,75.0,-,0,-,0,-,0,-,0,-,0,-,0,0,41,183.
2004.07,United Kingdom,0.90,53,28.,45.,49.0,5.,67.27,6.,130.0,38.,3.5,32.,5.01,32.,7.72,-,0,-,0,0,262,115.
2004.05,Michigan,1.00,129,92.,61.,73.27,19.,63.0,48.,80.0,-,0,-,0,-,0,-,0,-,0,0,216,79.
2003.07,United Kingdom,0.86,34,9.,11.,77.0,21.,51.1,25.,66.0,5.,57.6,7.,31.97,1.,150.0,-,0,-,0,0,434,35.
2002.07,United Kingdom,0.87,35,5.,1.,95.0,8.,64.3,6.,100.0,9.,59.59,7.,33.82,8.,121.49,6.,248.72,-,0,0,723,15.
2002.05,Michigan,0.99,121,53.,14.,80.4,2.,74.7,5.,130.0,-,0,-,0,-,0,-,0,-,0,0,285,23.
2001.12,Australia,0.85,18,3.,2.,75.3,6.,68.5,7.,122.0,5.,43.8,1.,50.0,4.,141.5,1.,350.0,4.,26.0,0,877,8.
2001.07,United Kingdom,0.86,23,3.,7.,77.0,8.,64.5,3.,145.0,5.,64.97,3.,40.9,4.,134.05,1.,365.79,-,0,0,892,8.
2001.05,Michigan,1.00,108,14.,15.,83.82,60.,46.8,5.,120.0,-,0,16.,33.06,4.,136.37,19.,194.55,-,0,0,615,13.
2000.05,Michigan,0.99,94,5.,17.,71.87,7.,68.48,2.,145.0,15.,62.97,-,0,12.,108.02,13.,199.69,-,0,0,656,18.
1999.05,Michigan,1.00,89,28.,6.,72.47,28.,53.72,1.,150.0,24.,52.6,12.,35.76,42.,55.16,-,0,-,0,0,420,38.
1998.05,Michigan,1.00,81,30.,16.,64.53,45.,48.94,6.,129.0,-,0,57.,5.28,43.,64.03,34.,123.93,-,0,0,436,48.
1997.05,Michigan,0.98,66,51.,41.,11.71,46.,47.73,55.,50.0,-,0,-,0,-,0,34.,10.23,-,0,0,120,78.
