date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2016,Lincoln,0.92,69,61.,45.,59.,66.,-,-,-,-,-,0,119,449.
2011,Michigan,0.97,97,87.,68.,64.,67.,-,-,-,-,-,0,164,234.
2009,Virginia,0.92,21,6.,13.,7.,12.,6.,12.,7.,7.,-,0,568,112.
2008,Michigan,1.00,104,65.,40.,39.,61.,57.,63.,57.,-,-,0,301,200.
2007,California,0.95,59,51.,11.,54.,37.,-,-,-,-,-,0,172,265.
2005,Michigan,0.99,114,106.,54.,104.,99.,-,-,-,-,-,0,160,212.
2004,Michigan,1.00,129,122.,39.,109.,-,94.,82.,79.,-,-,0,123,184.
2002,Michigan,0.99,121,72.,12.,24.,46.,-,-,69.,-,-,0,219,82.
2001,Michigan,1.00,108,41.,57.,56.,63.,44.,46.,-,28.,-,0,339,62.
2000,Michigan,0.99,94,65.,47.,17.,55.,-,-,-,-,-,0,198,74.
1999,Michigan,1.00,89,71.,59.,66.,34.,-,-,-,-,-,0,151,68.
1998,Michigan,1.00,81,37.,57.,8.,38.,59.,32.,47.,36.,-,0,400,37.
