date,event,C,teams,place,cost,cost points,bp,bp points,ed,ed points,acc,acc points,sp,sp points,autox,autox points,endu,endu points,fuel,fuel points,pen,total,wrl
2019.07,United Kingdom,0.85,64,42.,25.,75.3,47.,26.0,47.,54.0,-,0,-,0,-,0,32.,8.0,-,0,0,163,447.
2018.07,United Kingdom,0.88,70,49.,25.,68.0,67.,7.4,52.,60.0,-,0,-,0,37.,4.5,41.,5.0,-,0,0,145,445.
2017.07,United Kingdom,0.85,62,43.,45.,27.7,36.,46.5,45.,70.0,-,0,-,0,26.,10.9,26.,11.0,-,0,0,166,420.
2016.08,Spain,0.97,36,31.,32.,28.8,34.,23.6,31.,61.0,-,0,24.,3.5,20.,4.5,-,0,-,0,0,121,408.
2016.07,United Kingdom,0.98,106,65.,83.,29.4,32.,54.3,72.,55.0,-,0,-,0,50.,29.5,26.,22.0,-,0,0,190,369.
2015.08,Spain,0.90,28,23.,24.,22.86,26.,40.27,25.,54.0,15.,39.37,19.,3.5,15.,4.5,-,0,-,0,0,165,383.
2015.07,United Kingdom,0.94,92,62.,49.,45.2,81.,31.7,57.,65.0,-,0,-,0,-,0,27.,20.0,-,0,-10,152,369.
2014.08,Spain,0.91,25,16.,5.,73.72,10.,52.5,22.,57.0,17.,38.46,18.,3.5,13.,4.5,-,0,-,0,0,230,360.
2014.07,United Kingdom,0.98,90,58.,38.,51.9,89.,18.0,51.,80.0,35.,13.2,39.,2.5,43.,7.5,49.,4.0,-,0,0,177,388.
2013.09,Spain,0.85,15,13.,13.,58.9,10.,57.1,13.,58.0,13.,3.5,12.,17.9,11.,4.5,-,0,-,0,0,200,398.
2013.07,United Kingdom,0.97,83,68.,64.,33.1,62.,35.6,59.,71.0,-,0,-,0,-,0,-,0,-,0,-10,130,410.
2012.09,Spain,0.85,16,14.,14.,27.9,11.,62.1,11.,67.0,14.,25.36,14.,28.34,10.,4.5,-,0,-,0,0,215,399.
2012.07,United Kingdom,0.95,97,83.,87.,18.1,56.,40.6,73.,55.0,-,0,-,0,-,0,-,0,-,0,0,114,427.
2011.07,United Kingdom,0.95,77,70.,66.,45.0,68.,33.6,-,0,-,0,-,0,26.,7.5,47.,7.0,-,0,-3,90,437.
2009.07,United Kingdom,0.96,78,75.,67.,43.0,73.,20.7,-,0,-,0,-,0,-,0,-,0,-,0,-5,59,420.
