date,event,C,teams,place,cost,cost points,bp,bp points,ed,ed points,acc,acc points,sp,sp points,autox,autox points,endu,endu points,fuel,fuel points,pen,total,wrl
2022.05,Michigan,0.93,89,40.,21.,76.9,8.,70.4,27.,80.0,-,0,42.,26.1,55.,20.9,27.,74.4,34.,40.1,0,389,187.
2019.06,Lincoln,0.92,76,34.,19.,70.4,4.,72.0,48.,60.0,28.,42.0,33.,3.5,45.,41.4,23.,50.5,28.,51.3,0,391,173.
2018.05,Michigan,0.97,114,25.,28.,67.1,38.,59.9,17.,80.0,53.,53.6,27.,37.8,43.,38.2,26.,73.7,25.,60.5,0,471,194.
2017.06,Lincoln,0.92,70,46.,23.,74.0,2.,71.6,49.,60.0,35.,59.1,44.,3.5,43.,54.2,39.,10.0,-,0,0,332,279.
2016.05,Michigan,0.98,114,96.,9.,73.7,48.,50.6,74.,60.0,-,0,83.,2.5,91.,7.5,75.,13.0,-,0,0,207,308.
2015.06,Lincoln,0.94,64,53.,7.,75.9,34.,54.6,48.,55.0,-,0,-,0,-,0,-,0,-,0,0,186,296.
2014.06,Lincoln,0.94,66,40.,5.,82.0,2.,74.9,41.,70.0,46.,20.3,41.,12.2,33.,90.2,33.,12.0,-,0,0,362,212.
2013.06,Lincoln,0.93,60,42.,4.,86.4,49.,39.6,39.,70.0,20.,46.1,41.,9.5,45.,62.3,39.,10.0,-,0,0,324,229.
2012.06,Lincoln,0.94,65,29.,11.,71.7,11.,67.0,14.,90.0,24.,43.7,34.,22.6,35.,30.5,30.,10.0,-,0,0,336,234.
2011.06,California,0.95,60,37.,7.,76.6,7.,66.7,28.,74.0,21.,47.5,33.,8.5,38.,7.5,39.,10.0,-,0,0,291,278.
2010.06,California,0.94,56,42.,36.,56.7,7.,63.6,37.,61.0,-,0,-,0,-,0,-,0,-,0,0,181,301.
2009.06,California,0.93,45,36.,33.,47.0,30.,42.1,33.,35.0,-,0,-,0,30.,7.5,-,0,-,0,0,132,258.
2008.05,Michigan,1.00,104,55.,74.,73.0,41.,51.5,61.,60.0,30.,51.1,53.,19.5,39.,84.8,-,0,-,0,0,340,164.
2007.06,California,0.95,59,38.,46.,54.0,52.,35.46,28.,80.0,30.,42.53,39.,2.5,33.,52.03,-,0,-,0,0,267,199.
2004.05,Michigan,1.00,129,116.,93.,64.26,117.,24.9,79.,60.0,-,0,-,0,-,0,-,0,-,0,0,149,191.
2002.05,Michigan,0.99,121,113.,106.,55.42,112.,13.3,114.,20.0,71.,18.75,-,0,-,0,-,0,-,0,0,107,152.
2001.05,Michigan,1.00,108,94.,96.,55.51,97.,16.5,34.,80.0,-,0,-,0,-,0,-,0,-,0,0,152,108.
2000.05,Michigan,0.99,94,59.,53.,62.21,51.,43.88,79.,45.0,55.,24.63,-,0,35.,34.51,-,0,-,0,0,210,97.
1999.05,Michigan,1.00,89,88.,55.,28.47,-,0,-,0,-,0,-,0,-,0,-,0,-,0,0,28,107.
