date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2022,Michigan,0.90,43,3.,3.,25.,4.,8.,8.,4.,3.,6.,0,829,23.
2022,Michigan,0.93,89,22.,8.,24.,10.,17.,8.,24.,37.,30.,0,527,54.
2019,Lincoln,0.92,76,3.,30.,16.,2.,17.,6.,3.,10.,29.,0,765,29.
2018,United Kingdom,0.88,70,8.,49.,14.,8.,-,9.,4.,6.,17.,-1,610,41.
2018,Lincoln,0.93,66,5.,43.,14.,35.,9.,2.,8.,7.,15.,0,666,32.
2016,Michigan,0.98,114,24.,64.,29.,12.,6.,27.,44.,31.,54.,0,592,37.
2015,Michigan,0.95,108,12.,55.,23.,7.,51.,34.,12.,12.,11.,0,680,31.
2014,Lincoln,0.94,66,29.,29.,7.,8.,33.,2.,2.,-,-,0,484,40.
2013,Lincoln,0.93,60,5.,45.,4.,3.,27.,5.,9.,8.,9.,0,819,5.
2012,Lincoln,0.94,65,2.,23.,2.,3.,21.,12.,7.,3.,2.,0,844,5.
2010,Michigan,0.96,101,6.,68.,47.,15.,47.,2.,9.,4.,4.,0,779,14.
2009,California,0.93,45,7.,27.,22.,8.,15.,13.,7.,7.,-,0,728,32.
2008,Michigan,1.00,104,35.,98.,26.,61.,15.,1.,4.,-,-,0,431,104.
2007,Michigan,0.99,105,30.,93.,23.,14.,7.,27.,1.,-,-,0,476,96.
2006,California,0.97,49,39.,42.,25.,4.,-,-,-,-,-,0,229,98.
2005,Michigan,0.99,114,38.,99.,8.,6.,12.,4.,4.,-,-,0,480,33.
2004,Japan,0.86,27,1.,12.,10.,1.,4.,8.,1.,1.,16.,0,832,22.
2004,Michigan,1.00,129,30.,108.,48.,3.,19.,12.,12.,-,-,0,458,45.
2003,Michigan,1.00,111,24.,79.,18.,15.,7.,11.,2.,-,-,0,465,33.
2002,Michigan,0.99,121,29.,51.,56.,46.,3.,10.,1.,-,-,0,448,22.
2001,Michigan,1.00,108,8.,63.,75.,34.,21.,9.,14.,4.,-,0,729,10.
2000,Michigan,0.99,94,15.,36.,14.,3.,14.,-,2.,-,-,0,481,20.
1999,Michigan,1.00,89,20.,27.,35.,3.,10.,2.,1.,-,-,0,513,7.
1998,Michigan,1.00,81,2.,20.,14.,4.,7.,2.,2.,2.,-,0,887,2.
1997,Michigan,0.98,66,2.,17.,3.,1.,25.,3.,1.,2.,-,0,830,1.
1996,Michigan,0.99,68,1.,18.,2.,2.,3.,4.,5.,1.,-,0,888,1.
1995,Michigan,0.99,69,1.,14.,1.,1.,13.,9.,5.,4.,8.,0,859,3.
1994,Michigan,0.96,58,8.,6.,23.,1.,7.,3.,4.,17.,16.,0,654,5.
1992,Michigan,1.00,10,2.,-,-,-,-,-,-,-,-,0,792,2.
