date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2012,Italy,0.90,37,16.,6.,24.,10.,-,-,9.,14.,-,0,410,186.
2012,Spain,0.85,16,7.,6.,12.,10.,4.,10.,6.,7.,-,0,537,195.
2012,Germany,0.98,76,56.,39.,38.,70.,7.,-,35.,-,-,-5,243,290.
2012,United Kingdom,0.95,97,63.,69.,49.,84.,30.,40.,29.,56.,-,-3,178,298.
2011,Italy,0.92,49,39.,8.,47.,45.,19.,32.,23.,28.,-,-100,204,241.
2011,Germany,0.96,74,31.,70.,71.,47.,20.,43.,43.,18.,28.,0,366,184.
2010,Italy,0.94,41,26.,29.,32.,31.,16.,26.,22.,22.,-,-55,398,216.
2010,Germany,0.97,75,58.,70.,51.,68.,-,-,57.,20.,-,0,230,288.
2010,United Kingdom,0.97,72,36.,58.,44.,53.,14.,42.,32.,23.,72.,-30,236,303.
2009,Italy,0.92,36,35.,25.,-,36.,25.,27.,26.,-,-,0,112,396.
