date,event,C,teams,place,cost,cost points,bp,bp points,ed,ed points,acc,acc points,sp,sp points,autox,autox points,endu,endu points,fuel,fuel points,pen,total,wrl
2022.09,Spain,0.85,15,6.,4.,86.2,11.,48.6,2.,140.0,11.,25.5,5.,70.9,5.,52.0,-,0,-,0,0,423,205.
2022.08,East,0.91,19,14.,6.,77.45,8.,61.16,12.,83.0,-,0,13.,32.74,14.,4.5,-,0,-,0,0,259,212.
2022.07,Italy,0.86,24,8.,13.,64.47,7.,56.55,12.,107.91,16.,51.98,12.,17.54,14.,22.66,6.,121.34,8.,28.22,0,471,154.
2021.10,Italy,0.89,17,7.,1.,100.0,2.,61.44,11.,111.96,15.,13.62,13.,15.18,11.,64.32,8.,64.94,7.,66.53,0,498,168.
2021.08,Germany,0.93,21,16.,8.,78.85,5.,67.78,15.,70.0,17.,31.2,17.,3.5,11.,28.24,-,0,-,0,0,280,195.
2021.07,Austria,0.93,27,15.,18.,64.7,4.,70.5,12.,78.9,14.,30.1,16.,3.5,15.,25.2,-,0,-,0,0,273,149.
2019.08,Czech Republic,0.88,33,7.,6.,88.0,7.,68.0,15.,89.0,10.,64.45,12.,58.15,5.,71.42,10.,210.27,10.,57.59,0,707,74.
2019.08,Germany,0.97,60,15.,26.,82.4,1.,75.0,49.,50.0,5.,65.92,29.,21.69,16.,60.67,17.,146.34,15.,17.7,0,520,107.
2019.07,Italy,0.87,40,8.,1.,100.0,1.,75.0,19.,106.2,5.,87.23,11.,50.58,9.,79.46,12.,108.84,10.,68.99,0,676,131.
2018.08,Germany,0.97,57,37.,26.,78.0,31.,51.27,35.,70.0,22.,44.59,34.,28.49,31.,45.02,-,0,-,0,-10,307,236.
2018.07,Italy,0.85,46,28.,2.,99.6,16.,51.52,28.,79.59,-,0,26.,5.75,-,0,21.,25.99,22.,25.81,0,288,223.
2017.08,Germany,0.97,64,37.,32.,76.0,47.,44.05,38.,75.0,10.,62.57,44.,12.2,36.,37.84,-,0,-,0,0,308,164.
2017.07,Italy,0.91,43,6.,24.,67.2,8.,59.69,22.,93.1,4.,83.72,11.,37.16,6.,103.74,8.,193.27,10.,63.93,-20,682,83.
2016.07,Italy,0.88,38,16.,2.,94.89,1.,75.0,13.,122.52,7.,53.6,19.,2.5,15.,53.99,-,0,-,0,0,402,234.
2014.09,Italy,0.90,44,32.,16.,78.93,33.,41.33,33.,75.55,-,0,-,0,-,0,-,0,-,0,0,196,310.
2012.09,Italy,0.90,37,17.,20.,58.79,4.,72.0,12.,100.0,18.,46.27,22.,17.99,12.,60.61,17.,24.0,-,0,0,380,190.
2012.08,Germany,0.98,76,50.,13.,74.03,76.,16.85,28.,85.0,55.,27.06,20.,49.07,37.,33.51,-,0,-,0,-5,281,174.
2011.09,Italy,0.92,49,20.,15.,79.0,32.,52.0,8.,133.0,28.,47.6,19.,26.4,21.,71.5,24.,15.0,-,0,0,424,135.
2011.08,Germany,0.96,74,37.,19.,73.78,52.,44.76,47.,60.0,42.,42.3,41.,38.56,23.,45.21,-,0,-,0,0,305,118.
2010.09,Italy,0.94,41,9.,9.,82.06,24.,48.98,17.,112.0,21.,45.57,28.,21.81,10.,107.27,7.,294.96,-,0,-5,708,77.
2010.08,Germany,0.97,75,55.,38.,68.0,49.,52.93,33.,80.0,-,0,-,0,29.,62.23,-,0,-,0,0,263,169.
2009.09,Italy,0.92,36,12.,5.,86.5,22.,43.21,9.,115.0,22.,35.78,21.,25.99,15.,79.23,11.,224.92,-,0,0,611,128.
2009.08,Germany,0.98,77,64.,10.,83.62,72.,36.01,60.,40.0,-,0,-,0,58.,4.5,-,0,36.,14.51,0,179,285.
2008.09,Italy,0.92,31,23.,27.,25.5,20.,45.0,26.,73.0,26.,3.5,-,0,25.,7.5,13.,75.5,-,0,0,230,257.
