date,event,C,teams,place,cost,cost points,bp,bp points,ed,ed points,acc,acc points,sp,sp points,autox,autox points,endu,endu points,fuel,fuel points,pen,total,wrl
2024.08,Alpe Adria,0.85,16,5.,8.,68.5,9.,53.0,7.,108.1,4.,62.7,6.,49.2,4.,59.8,3.,241.4,-,0,0,643,89.
2024.08,Czech Republic,0.85,14,7.,5.,73.2,8.,68.0,8.,119.5,3.,63.35,7.,48.78,5.,84.84,-,0,-,0,0,458,130.
2024.07,Austria,0.85,20,7.,10.,58.0,8.,60.9,11.,94.0,8.,47.2,10.,26.5,7.,63.7,7.,147.1,-,0,-10,488,157.
2023.08,Germany,0.85,27,15.,16.,64.0,6.,57.85,14.,50.0,9.,37.11,16.,10.08,12.,33.37,-,0,-,0,-10,242,260.
2023.08,East,0.87,18,11.,9.,74.46,13.,42.48,9.,89.0,3.,66.41,-,0,-,0,-,0,-,0,-35,237,259.
2023.07,Netherlands,0.85,12,10.,5.,82.12,6.,68.32,8.,74.69,10.,12.9,-,0,-,0,-,0,-,0,-50,188,246.
2022.08,Alpe Adria,0.85,14,8.,9.,64.9,1.,75.0,5.,102.5,8.,51.3,8.,26.8,10.,24.8,-,0,-,0,-48,297,152.
2022.07,Netherlands,0.85,14,3.,1.,98.0,2.,72.0,3.,115.0,2.,50.96,2.,53.71,2.,30.59,-,0,-,0,0,420,248.
2022.07,Czech Republic,0.85,18,4.,8.,82.0,1.,75.0,5.,130.0,11.,62.33,10.,38.08,10.,12.76,5.,173.48,5.,29.94,-25,579,159.
2021.08,Czech Republic,0.90,19,12.,13.,40.0,6.,59.0,9.,105.0,7.,58.17,10.,34.02,11.,26.78,-,0,-,0,0,323,164.
2019.08,Czech Republic,0.88,33,12.,13.,79.0,12.,61.0,24.,62.0,11.,62.56,17.,50.69,19.,44.13,12.,134.1,3.,82.9,0,576,97.
2019.07,Italy,0.87,40,9.,25.,58.91,11.,57.22,8.,121.53,11.,76.57,16.,42.01,10.,78.78,11.,117.08,4.,77.38,0,629,98.
2018.07,Italy,0.85,46,15.,35.,61.47,34.,31.06,26.,84.69,16.,69.11,-,0,24.,49.73,11.,134.62,4.,85.14,-10,506,134.
2017.08,Czech Republic,0.92,33,10.,19.,67.0,23.,46.0,23.,63.0,11.,59.17,17.,44.3,23.,42.31,14.,161.96,5.,86.73,0,570,176.
2017.07,East,0.99,38,31.,32.,25.3,34.,34.8,27.,90.0,23.,14.7,16.,26.2,24.,4.5,-,0,-,0,0,196,303.
2016.07,Italy,0.88,38,11.,17.,74.5,35.,18.95,31.,53.82,7.,53.6,9.,36.01,12.,65.28,8.,92.15,4.,88.63,0,483,224.
2015.09,Czech Republic,0.88,22,21.,17.,36.69,20.,33.21,22.,33.33,-,0,-,0,-,0,-,0,-,0,0,103,465.
