date,event,C,teams,place,cost,cost points,bp,bp points,ed,ed points,acc,acc points,sp,sp points,autox,autox points,endu,endu points,fuel,fuel points,pen,total,wrl
2024.09,Japan,0.90,71,23.,30.,29.37,16.,56.86,38.,58.0,25.,34.86,14.,49.54,28.,67.11,19.,113.27,24.,6.93,-10,406,118.
2023.09,Japan,0.85,64,22.,22.,38.23,4.,66.03,26.,62.0,12.,48.64,20.,45.47,16.,91.51,24.,15.0,20.,47.42,0,414,120.
2019.08,Japan,0.96,87,16.,40.,21.51,30.,49.21,14.,91.0,49.,37.26,30.,37.03,21.,95.48,13.,149.12,35.,41.53,-20,502,81.
2018.09,Japan,0.95,86,23.,49.,21.68,10.,60.0,18.,90.0,21.,67.21,14.,51.96,15.,100.12,25.,185.66,43.,44.85,-20,601,59.
2017.09,Japan,0.92,83,24.,38.,27.0,20.,52.5,33.,76.0,49.,32.95,39.,32.52,22.,90.07,25.,171.81,24.,65.41,0,548,118.
2016.09,Japan,0.94,83,17.,27.,31.69,30.,37.5,38.,69.0,26.,41.47,25.,4.39,26.,88.09,13.,214.65,30.,38.03,0,525,192.
2015.09,Japan,0.95,75,58.,58.,10.6,34.,39.47,31.,72.0,-,0,-,0,-,0,-,0,-,0,0,122,352.
2014.09,Japan,0.93,75,48.,28.,32.36,26.,39.47,30.,72.0,34.,47.29,7.,34.47,-,0,-,0,-,0,0,226,277.
2013.09,Japan,0.93,69,37.,41.,19.9,40.,33.75,49.,51.0,40.,22.48,-,0,36.,85.9,29.,148.29,-,0,0,361,269.
2011.09,Japan,0.95,65,57.,25.,45.8,40.,30.0,-,0,46.,3.5,43.,2.5,45.,7.5,-,0,-,0,0,89,438.
2007.09,Japan,0.92,58,49.,55.,12.18,25.,37.5,44.,89.02,-,0,-,0,33.,7.5,-,0,-,0,0,146,253.
2006.09,Japan,0.90,50,30.,44.,25.9,24.,43.5,42.,59.76,5.,65.5,14.,2.5,16.,83.06,-,0,-,0,0,280,179.
2005.09,Japan,0.85,39,23.,31.,38.1,24.,37.1,30.,88.0,18.,28.21,11.,34.5,6.,108.51,-,0,-,0,0,334,135.
