date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2021,Germany,0.93,21,12.,19.,9.,6.,1.,14.,16.,13.,-,0,450,198.
2021,Austria,0.93,27,13.,23.,10.,19.,8.,-,18.,11.,-,0,279,258.
2021,Netherlands,0.91,26,13.,2.,21.,13.,3.,9.,13.,-,-,-10,343,225.
2019,Italy,0.87,40,14.,12.,5.,14.,9.,12.,14.,26.,-,0,459,219.
2019,Netherlands,0.87,28,13.,6.,4.,8.,4.,13.,10.,-,-,0,354,298.
2018,Italy,0.85,46,29.,4.,24.,25.,21.,15.,23.,33.,-,-100,271,332.
2017,Italy,0.91,43,35.,6.,38.,34.,22.,18.,28.,-,-,-50,153,309.
2016,Italy,0.88,38,23.,8.,20.,27.,22.,10.,24.,25.,-,0,262,226.
2016,United Kingdom,0.98,106,31.,22.,61.,36.,40.,33.,41.,19.,-,0,426,177.
2015,Italy,0.87,43,24.,22.,12.,28.,14.,21.,25.,19.,19.,0,346,192.
2015,United Kingdom,0.94,92,20.,47.,39.,34.,8.,18.,28.,16.,-,0,479,161.
2014,Italy,0.90,44,24.,31.,22.,17.,18.,21.,23.,20.,-,0,346,222.
