date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2022,Germany,0.93,63,6.,2.,13.,7.,32.,19.,7.,7.,1.,-25,476,25.
2022,Austria,0.95,30,18.,1.,2.,3.,-,-,-,-,-,-85,220,28.
2021,Germany,0.94,38,4.,6.,19.,8.,3.,-,3.,4.,9.,0,744,6.
2021,East,0.93,26,4.,4.,1.,6.,3.,1.,4.,4.,12.,0,802,9.
2021,Austria,0.92,27,1.,21.,9.,4.,2.,2.,1.,1.,6.,-20,832,14.
2021,Netherlands,0.93,28,6.,12.,11.,4.,2.,-,-,-,-,-25,324,33.
2019,Germany,0.97,38,4.,10.,2.,7.,6.,19.,9.,3.,5.,0,700,22.
2019,Austria,0.95,24,13.,18.,7.,4.,-,-,-,-,-,-13,246,45.
2019,East,0.92,20,5.,5.,2.,4.,6.,9.,7.,6.,5.,0,662,34.
2018,Germany,0.98,39,20.,12.,7.,11.,-,-,13.,-,-,-30,273,46.
2018,Austria,0.97,19,13.,11.,14.,8.,9.,7.,9.,-,-,0,413,33.
2018,East,0.88,16,4.,5.,4.,5.,5.,7.,6.,5.,2.,0,699,32.
2017,Austria,0.92,19,11.,9.,3.,5.,-,-,-,-,-,-30,246,47.
2017,East,0.99,38,25.,18.,4.,13.,-,-,-,-,-,0,266,38.
2016,Germany,1.00,37,12.,7.,9.,5.,9.,13.,13.,-,-,0,390,18.
2016,Austria,0.99,18,10.,6.,8.,4.,6.,-,11.,13.,2.,0,477,17.
2016,United Kingdom,0.98,106,16.,7.,77.,15.,13.,17.,15.,35.,6.,0,532,14.
2015,Austria,0.96,18,6.,9.,1.,12.,10.,5.,11.,8.,6.,0,640,11.
2015,Germany,0.98,39,9.,19.,11.,19.,6.,9.,19.,11.,3.,-5,530,15.
2015,United Kingdom,0.94,92,19.,43.,10.,16.,-,9.,36.,17.,5.,-30,498,25.
2014,Germany,1.00,39,19.,9.,4.,14.,-,13.,-,-,-,0,280,40.
2011,Germany,0.98,28,28.,-,24.,-,-,-,-,-,-,0,46,35.
2010,Germany,1.00,15,10.,10.,9.,9.,7.,6.,-,-,-,0,229,10.
