date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2022,Spain,0.85,38,9.,20.,6.,6.,8.,6.,10.,-,-,0,342,58.
2022,Germany,0.93,63,12.,25.,36.,13.,8.,10.,29.,10.,6.,-20,421,51.
2022,Austria,0.95,30,19.,21.,15.,16.,-,-,11.,-,-,0,217,67.
2021,Germany,0.94,38,26.,33.,21.,18.,15.,12.,23.,-,-,-25,256,58.
2021,Spain,0.85,16,4.,12.,3.,4.,4.,3.,3.,5.,2.,0,599,35.
2019,Spain,0.95,39,15.,8.,8.,13.,16.,16.,8.,-,-,0,375,51.
2019,Germany,0.97,38,9.,23.,16.,8.,8.,14.,-,7.,8.,-35,475,47.
2019,East,0.92,20,14.,15.,4.,9.,11.,11.,13.,-,-,0,298,72.
2018,Spain,0.97,38,22.,30.,18.,11.,23.,13.,20.,-,-,0,260,59.
2018,Italy,0.85,18,9.,15.,2.,3.,6.,5.,7.,7.,-,-110,267,52.
2017,Spain,0.97,30,17.,15.,6.,6.,16.,19.,17.,-,-,0,357,41.
2017,Germany,0.96,34,17.,14.,7.,5.,17.,-,18.,-,-,10,276,42.
2017,Czech Republic,0.86,14,9.,1.,4.,1.,-,-,-,-,-,0,312,40.
2016,Czech Republic,0.85,10,3.,5.,1.,4.,6.,2.,6.,4.,2.,0,678,29.
2016,United Kingdom,0.98,106,51.,53.,7.,36.,-,-,37.,26.,-,-50,244,44.
2015,Italy,0.85,20,7.,14.,5.,2.,3.,13.,3.,12.,-,0,439,38.
2015,Spain,0.97,30,18.,12.,9.,8.,-,-,-,-,-,0,239,39.
2015,Hungary,0.90,37,21.,21.,26.,14.,-,-,21.,18.,3.,0,481,35.
2014,United Kingdom,0.98,90,49.,40.,37.,21.,-,-,-,55.,-,-10,202,49.
2013,Spain,0.85,16,15.,9.,14.,3.,-,-,-,-,-,0,236,42.
2013,Hungary,0.92,37,30.,15.,2.,12.,-,-,-,-,-,0,264,34.
2013,Germany,1.00,40,25.,23.,23.,12.,-,-,-,-,-,0,222,33.
2012,United Kingdom,0.95,97,22.,34.,59.,34.,-,-,-,18.,3.,0,411,12.
2011,Germany,0.98,28,13.,15.,5.,11.,11.,11.,10.,-,-,0,251,14.
