date,event,C,teams,place,cost,cost points,bp,bp points,ed,ed points,acc,acc points,sp,sp points,autox,autox points,endu,endu points,fuel,fuel points,pen,total,wrl
2024.08,Alpe Adria,0.85,29,14.,7.,87.0,14.,56.0,6.,137.8,-,0,15.,7.9,-,0,-,0,-,0,0,289,116.
2024.08,Germany,0.94,79,54.,40.,70.0,61.,46.13,29.,80.0,48.,5.7,-,0,37.,8.27,-,0,-,0,0,210,118.
2024.08,Spain,0.85,25,11.,2.,98.0,2.,71.0,4.,110.0,10.,33.0,6.,38.1,9.,4.5,-,0,-,0,0,355,102.
2023.08,Germany,0.92,70,35.,17.,86.28,17.,62.16,30.,80.0,33.,11.12,-,0,-,0,-,0,-,0,0,240,96.
2023.08,East,0.92,31,18.,15.,83.37,12.,63.17,19.,106.5,-,0,14.,17.61,11.,13.61,-,0,-,0,0,284,81.
2023.07,Netherlands,0.92,33,11.,5.,91.44,2.,74.0,9.,114.2,-,0,-,0,-,0,-,0,-,0,0,280,76.
2022.08,Germany,0.93,63,25.,21.,81.0,1.,75.0,33.,70.0,29.,11.64,28.,7.6,19.,29.37,11.,25.0,-,0,-10,290,64.
2022.08,East,0.92,33,18.,25.,60.73,7.,70.07,20.,95.5,13.,25.5,16.,23.77,11.,4.5,-,0,-,0,0,280,65.
2022.07,Italy,0.85,26,3.,15.,70.88,1.,75.0,13.,94.9,7.,4.5,7.,3.5,3.,48.61,3.,66.95,2.,96.8,0,461,55.
2021.08,Germany,0.94,38,29.,10.,88.35,2.,74.0,28.,70.0,29.,3.5,23.,3.5,23.,4.5,-,0,-,0,-15,229,83.
2021.08,Spain,0.85,16,6.,5.,89.2,9.,59.0,9.,89.0,8.,3.5,6.,30.0,9.,12.6,6.,25.0,1.,100.0,0,408,72.
2021.07,Netherlands,0.93,28,15.,3.,95.0,3.,73.3,19.,50.96,-,0,-,0,-,0,-,0,-,0,0,219,91.
2019.08,Spain,0.95,39,29.,14.,77.0,1.,74.0,33.,50.0,-,0,-,0,-,0,-,0,-,0,0,201,96.
2019.08,Germany,0.97,38,30.,10.,92.0,29.,45.17,27.,60.0,-,0,-,0,-,0,-,0,-,0,-25,172,95.
2018.08,Spain,0.97,38,27.,26.,53.0,1.,74.0,24.,70.0,-,0,-,0,-,0,-,0,-,0,0,197,76.
